"","V2"
"571","Fun, exciting,and you learn a lot"
"572","UCF is very challenging and rewarding all at once."
"573","UCF stands for opportunity."
"574","UCF is a beautiful school that has the potential of being every prospective students first choice."
"575","these people like to party"
"576","A second home where I can do what ever I want and get help when ever I need it while having plenty of time to just be me."
"577","Go Knights!"
"578","Spirited and always expanding."
"579","The University of Central Florida is is well laid out and the college accepts students who want to be there and the atmosphere is amazing and contageous."
"580","Smart."
"581","A friendly and interactive experience that allows students to explore themselves and their lives."
"582","Preacher on campus answering a timeless question"
"583","UCF is a great school in every sense."
"584","UCF is the sixth biggest school in the nation at 49,000 students, so it is very easy to find a great group of friends."
"585","The students at UCF are diverse. That is really all there is to it. We have students from every state, numerous different countries, and all parts of the world. As far as my experiences have been, I have had nothing but pleasant encounters learning about new cultures and walks of life.
The University has an office of Diversity Initiatives which sets out to create inclusion for all, regardless of your race, religion, or preference of any kind, and having worked on a project with them, they really know what they are doing and how to make anyone welcomed and comfortable at the school.
Students usually keep to themselves about their financial situation, and as far as the future goes, everyone at UCF believes and wants the same thing, to be successful, however they define success, exactly the way we like it. "
"586","UCF definitely has its fair share of every background you could think of, as well as its fair share of every political, moral, and religious viewpoint you could think of.  As with real life, some of these groups are louder than others--UCF permits students to demonstrate their views in accordance with first amendment rights.  A notable example I remember is that of an anti abortion or ""pro life"" group demonstrating their views--peacefully, mind you.  All in all, no one should feel out of place at UCF regardless of background, or their moral or political views."
"587","One of the things I love about UCF is the vast diversity that is there. From infancy onward I have always been around people who come from a variety of different backgrounds and cultures; for example, 80{4a082faed443b016e84c6ea63012b481c58f64867aa2dc62fff66e22ad7dff6c} of students that attended my high school were not Caucasian, with groups from Puerto Rico, the Dominican Republic, Haiti, Vietnam, and Colombia. The same is true of UCF--it is nothing out of the ordinary to walk from the Student Union to the Library and see a group of Middle Eastern students, followed by a Latino organization with some black and European Americans scattered about. Thus, I feel right at home.

The diversity at UCF stretches far beyond just ethnicity. Groups of Muslims, Catholics, Jews, Mormons, Jehovah's Witnesses, atheists and other belief systems can easily be identified across campus, bearing thorough witness to the school's religious diversity. The same can be said of political matters--democrats, republicans, and other groups all exist on campus. 

Moreover, the punk, hip hop, cowboy, Gothic, and LGBT cultures are all present on campus, excluding virtually no one from a group that they feel they might ""belong"" to. Many students are from Florida, while sizable portions come from out-of-state. 

Understandably then, one would think that with all of these differing views, there must be a lot of discord and a lack of unity here at UCF, but instead the opposite is true--all of these different cultures blend together beautifully, much in the same way that the different instruments in an orchestra complement each other seamlessly to create a pleasant musical piece. This remarkable diversity has made me embrace UCF all the more so for its uniqueness."
"588","""Community"" is another pillar of the UCF creed. It stands for respecting the rights and contributions of everyone in order to create a supportive environment on campus. It really is one of the most diverse schools I have ever seen, not just in terms of students, but also evident in faculty and administration members (since they practice an Equal Opportunity Employment system). Our student government body itself has all ethnicities represented, which shows every one gets an equal opportunity.  
Every religious student organization is welcome to table and advocate its literature, of course in a non-imposing way. So far I have seen Muslims, Catholics, Mormons, Hindus, Atheists, etc., all promoting their materials outside the student union. The same kind of freedom is also provided to political and LGBT organizations.
A noteworthy aspect of our campus is the designated ""free speech"" areas including one located outside the library as well as in six other areas on campus. These spots are used for anyone to freely speak about, sometimes even scream, their opinions and concerns. 
In terms of the socio-economic status of students, theres diversity in that too. I consider myself someone who belongs to a middle class family, and I do just fine at school thanks to financial aid, bright futures' scholarship, and UCF's scholarship. Majority of students work and go to school to support themselves. So I would say, most students come from humble backgrounds and take care of themselves for the most part. This also means you see students in casual and comfortable outfits around school, further enhancing their images of every day college students. 
To help students out a little, University of Central Florida has a unique program called Knights Pantry. It's a medium sized storage place in the middle of campus where fellow knights donate canned food, clothes, and necessary items for those knights in need. All you must have is a valid student ID to get whatever is needed.
UCF is as diverse as it gets, in terms of race, ethnicity, socio economic status, academic capabilities, interests, etc. 
  "
"589","One of the greatest things about UCF is the unique and diverse population of students. There are students from all over the U.S. and other countries that I have met at UCF. Many of the students are very friendly and there are always groups that any student could fit into. To me UCF does not seem to have any general cliques in student populations so the possibilities of meeting and finding great friends are endless. "
"590","They're a few knotches above the normal crowd."
"591","I believe that UCF really emphasizes diversity amongst their students. Of course, in a classroom, there is always that one person that everyone hates that always asks the teacher with one minute left what the homework assignment is, but despite that one person everyone is culturally diverse. I have learned about so many different types of cultures due to UCF. I had never even met a jewish person before coming to college, and sophomore year I lived with all jewish girls. I might even describe some activities, such as chabad, with them as a cultural shock not being brought up in the jewish faith. Also, in my french and spanish classes I am exposed to different types of religions and ideas from all over the world. I love going to UCF because I am able to learn about the world during an ordinary day on campus. "
"592","The students at my school vary. You have the ones that are passionate about school and the ones that really don't care. "
"593","UCF is a very diverse school. You are going to be required to interact with diverse students in all of your courses. I personally love this because it opens my eyes to other cultures and views. I don't think any student would feel out of place at UCF. There are some students who like to look their best in class everyday and there are others, like myself, who most of the time like to be comfortable and wear sweats. It doesn't matter what you wear as long as you are happy with it. I think most students at this school are from middle class families. A lot of students rely on financial aid and their jobs to support themselves. There aren't many families who can support their children while in school. Students do discuss how much money they will make one day which is important and most professors will discuss this in their courses. "
"594","Many of the students here are very liberal and you are more than likely going to meet so many different types of poeple from so many different backgrounds that you have ever met in you're life and it's great because you get the opportunity to learn and expose yourself to different cultures."
"595","I am pretty sure it is impossible to feel out of place at UCF.  I say this because we have about 55,000 students!!  There are so many different types of people, you are bound to find at least one other person that is awesome just like you.  Think of every stereotype you have ever encountered in your life, and you will find it here, plus more!  Most students dress ""cute"" to class in the first week or two.  Then, it slowly turns into sweatpants and t-shirts, or whatever you wore to bed the night before.  Honestly, you can wear whatever you want and you'll blend in just fine.  I have seen some wacky outfits and nobody gives them any extra attention.  In a college setting, you will find that not many different types of students interact.  Usually same type students stick with ""their kind.""  I feel like this is just human nature, though.  You are supposed to stick with the people who are like you, right?  My favorite part of UCF is how diverse it is.  We have students from all over the world coming to this school.  Take my experience, for example.  In the few years that I have been here, I have made friends with kids from New Zealand, Venezuela, Japan, The Phillipines, Germany, India, England, Brazil, France, Pakistan, Vietnam, and the list goes on and on.  Most students are from America, yes, but there is such a heavy international influence.  It's really cool!  The financial background of students varies.  You're going to find your typical snobby rich kids but you're also going to find kids that are only getting an education thanks to their scholarship money.  I feel like financial differences have never played a part in my relationships, so nothing to worry about there!  On whether students are politically aware and active, that's up to you, the student!  If you want to be active, there are so many ways to do so, and if you don't.. then don't!  Same with political affiliation.  It's all up to you!  I think that's the coolest part about college.  YOU shape the kind of student that you want to be."
"596","There are so many students on this campus, there is somebody from every culture, every race, every religion, every state, lots of different countries, every financial situation, every political affiliation with every different interest in the world."
"597","Everyone you come across on campus is here for one thing, and that is to learn. The classroom atmosphere ranges from comfortable in the lower level classes to more professional in the upper level courses. It all really depends on the professor. During the average day of class in the engineering department, you can find students casually sitting in either atrium hard at work. However, when it comes to presentations and demonstrations, you can bet that UCF's engineering students know it's time to be professional. You can also count on making friends that will be there to help you out with classes and are very interactive to the learning process. Everyone just wants to learn something, be they poor, rich, middle class, republican, democrat, independent, gay, straight, or transgender. I have yet to come across someone who won't put their differences aside to help some one out. "
"598","As the Diversity Initiatives Coordinator of UCF's SGA I will have to say that along with our school being diverse, we are also very inclusive!"
"599","UCF has probably more diversity than Epcot! And that's saying something. With nearly 56,000 students enrolled, it's kind of hard not to appreciate diversity. I don't think anyone would feel out of place simply because there's always going to be a ""place"" where you fit in, no matter what your interests are."
"600","There are all kids of people that attend UCF. I have see everything from elders to young teens to students that can not speak one word of english. UCF offers a little bit of something for everyone. There is not a specific financial class, race, ethnicity or any of that here, students are spread out over everything possible. It is always fun to meet people from different cultures and share experience. Its amazing what some people have done/ gone through in their lives. It is a experience on its own just talking to people, both students and staff are usually all friendly."
"601","UCF has every type of student"
"602","My classmates were friendly, fun, and they each brought their own unique backgrounds that my college experience truly the best time of my life."
"603","The students of UCF all have different backgrounds, standards, and beliefs! All mixed. You ask and you will find."
"604","Friendly, motivated, and excited to be there."
"605","My classmates are very friendly and helpful."
"606","My classmates are under-prepared by Florida's school system, and tend to think that their classes are too hard when in actuality they are extremely easy compared to mid-western schools; nevertheless, they the majority of them become hard workers, learn to deal with hard teachers, and are able to balance academic learning with their social lives."
"607","Work as a team"
"608","Creative"
"609","My classmates were seriously focused and involved when it came to schoolwork."
"610","Having the second highest student population in the nation, the University of Central Florida offers a diversity amoung students, all of whom are willing to acheive a higher education."
"611","My classmates have been helpful when I requested assistance and have always given me feedback when needed by being accomadating even in the largest auditorium sized classroom."
"612","My classmates in the music department are very focused and dedicated to their field.  At any given time, several of them can be found practicing and working hard at improving their musical skills.  My classmates in the Honors College are also incredibly focused, and they definitely study hard with little to no wasting of time.  So far, all of the people that I interact with have been very friendly, respectful, and helpful."
"613","The students of the University of Central Florida are well-educated, driven individuals with a passion to study and excel in their coursework in order to advance in their lives."
"614","My classmates all want to succeed.  Everyone pays attention in class and puts effort into their work.  You can always ask for help from a peer and everyone is very understanding."
"615","Very helpful to each other and willing to work together if help is asked"
"616","It's hard to describe my classmates, but I would say we all have the same achieving attitude."
"617","We work well as a team."
"618","Diverse; my classmates range from the typical, race, to the not so typical, sexual orientation. Everyone has different views on everything and the large class sizes contribute to the diversity of each student."
"619","My classmates can be described as unique, opportunistic, and ready for life's many challenges."
"620","My classmates this semester are boring. They don't like excietment or a little joke during class to break the ice. My classes are very dry because they don't have any sense of humor."
"621","I find my classmates to be hungry for knowlege and hard working individuals that are here to do something great with there lives."
"622","Very young and have not had a full time job yet."
"623","Most people are open to making friends but keep to who they already know before making new friends."
"624","Each of my classmates are completely different from one another, there are no two people alike at the University of Central Florida."
"625","The classmates I have met at the University of Central Florida are nothing but kind and considerate, reflecting the outstanding values one must have to attend such a university where students can meet life long friends."
"626","They are racially diverse, but in the center of it all they are all college students looking for a degree in a higher institution of knowledge."
"627","A small city."
"628","My classmates are all activitely pursuing very varied interests and are very creative."
"629","My classmates are generally great individuals who are dedicated to their school work."
"630","My classmates are courteous, helpful and generous; these students hardly think selfishly."
"631","My classmates are extremely friendly, and are great when it comes to study groups."
"632","My classmates seem very interested in the topics presented in lectures and assignments, and show eagerness for learning."
"633","My classmates are a mixed group of individuals all there for different purposes such as to better themselves and some to simply get a college degree without  learning anything even if that means being dishonet."
"634","Classmates are typically friendly and willing to help in any way possible."
"635","They are pretty much to themselves since UCF is a mixed pot of cultures and classrooms are so congested."
"636","friendly, helpful"
"637","I am very close to all the classmates in my program they are like my family; we have each other’s back no matter what the situation."
"638","A far cry of the teneous culture many have experienced from high school, they're mature, down-to-earth, and mainly loyal to those who have earned their loyalty."
"639","My classmates are a group of driven, creative individuals who inspire and motivate me daily."
"640","friendly and driven"
"641","My classmates are very smart and willing to work together to learn."
"642","I would describe my classmates as engaging and ready to debate differing views and opinions."
"643","My classmates are quite focused on academics, helpful towards others, and diverse in a way that makes the learning experience more engaging because of all of the different experiences and opinions they bring to the classroom."
"644","I could be sitting next to a guy who has lived in St. Petersburg, Russia all of his life and a girl who's never left Orlando: there's just so much diversity at UCF that you don't even realize until you get here how many different people with different beliefs, customs, opinions, and interests there are on campus."
"645","Everyone I've encounted at the University of Central Florida is dedicated, creative, driven, passionate, and although all our small goals may different we all share the goal to succeed greatly."
"646","There was only one class so far, and I  did not attend. So, I have no idea who is attending the class and who are my classmates. Sorry."
"647","Classmates invariably range from quite and detached to extrememly expressive and socialy involved, and while one may think otherwise, the type of class being taken is NOT an accurate predictor of this."
"648","Most do not come to class, but the ones that do are very engaged and we learn a lot."
"649","My classmates are amazing and some of the best people I have come to know."
"650","Everyone is so varied here at UCF that you can be in a class with people twice your age at any point, and yet it is the perfect learning atmosphere."
"651","They are very hard-working and take their education seriously but know how to have fun also."
"652","My classmates are very active in discussion and make learning very fun."
"653","My classmates are  outspoken."
"654","My classmates are all very intellectual, polite, and easy to get along with."
"655","My classmates are very eager to learn and provide varying views and ideas on every subject."
"656","Students with an enormous amount of potential but lazy."
"657","My classmates are a variety of students varying from some who are studying for a great majority of time, some who never study, some play sports, others don't go to class at all, some I question how they got in and others I wonder how they haven't cured cancer yet, so the best way to describe my classmates is variety."
"658","University of Central Florida Classmates could be looked at as teammates. For the majority, people are willing to help eachother out. People are responsive to emails, phone calls, texts, etc. and try to answer eachothers questions to the best of their abilties. Overall, classmates at UCF are sincere towards eachother and are hardworkers. There are the few exceptions but when is there not."
"659","Classmates are social, outgoing, ready to learn, and always willing to help if you have any questions."
"660","My virtual classmates, from all walks and ages in life, as well as the instructors, at UCF have provided me with a wide array of perspectives and insights that have broadened my horizons, expanded my knowledge and seeded a love of learning."
"661","everyone is their own individual person"
"662","My classmate are normally very friendly and helpful and can normally relate to the same issues that I am having with a class."
"663","My fellow classmates are individuals that are attending the university for the college experience, willing to assist fellow classmates in times of need,  and earning an education."
"664","My classmates are very open and willing to new things that they learn. There is no discrimination here based on race, religion, or gender. If you want to be free of persecution, here is the place to do so.  The people who go here give off an atomsphere of actually wanting to learn instead of just looking for the means to find a  job when they graduate. These students really are dedicated to having a real college education."
"665","My classmates are ambitious visionaries who would be extremely sucessful if the world cherished the liberal arts."
"666","My major is new and has 40 people in it so far, I know and am close to everyone in my major we get together out of the class and get along with each other in class."
"667","My classmates at UCF are very eclectic."
"668","All of my classmates have been the best group of people I have ever worked with!"
"669","I am not about my classmates.  I do not interact with anyone really in class.  I did that in high school and it got me the GPA that I received.  So Now I mind my own business and focus on class."
"670","My classmates are competitive, supportive, ambitious, and motivated, brilliant."
"671","My classmates are interesting, they're not too football obsessed but at the same time they enjoy a good game, also there are a lot of; skateboarders, anime fans, sorority/fraternity memebers and pretty much anything else you can think of, while people aren't too outgoing you can always find someone you can relate to."
"672","The only way to describe my classmates are diverse, individual, and unique."
"673","I have not yet taken any classes at UCF, I am enrolled to start Spring 2011,  but I have shared classes with alot of the same pool of students whom are also transferring from the same community college that I attended to UCF and I have met many graduates of this school whom have also shared their excited experiences and recommendations come highly from them as well."
"674","A fun, energentic group that are all extremely engaged in the Athletic training program."
"675","Interactive with the professor and other classmates."
"676","Focused and mature."
"677","Classes are a lot bigger in college than in high school and you will not learn everybody like you could in high school. In college to meet your classmates you have to just open yourself up to them. Most people are sitting there just waiting there for class to start, but at the same time are hoping someone new will approach them and strike up a conversation. Classes can be to upwards of 300 students which opens doors for many different types of people to meet. Just dive into the diversity pool and make life long friends."
"678","My classmates are motivated and very ompetitive. they help motivate and challenge me to do better than them academically. they help bring forth a very beneficial and motivational learning environment and especially with the help of our teachers. There are some exceptions to this mass of great students and they would have to be those labeled as rebels, those students who just sleep in class or never come to class. In my time at UCF i have only witnessed a small amount of these group because it seems that most of the students that attend UCF have ambitions, like myself."
"679","My classmates are other biomedical students."
"680","Have multiple goals and aspirations that they work to achieve."
"681","My classmates are enriching the lives of others, caring, SMART and very competitive."
"682","My classmates are dedicated, hard-working individuals who know where they want to go in life and who support me in an way that they possibly can whether academically or socially ."
"683","My classmates are usually focused in class, and taking notes and helpful at times."
"684","My classmates were fun and interesting."
"685","my usual classmates are fifth-year seniors who can't wait to graduate."
"686","Some of them are wild and crazy."
"687","UCF students are fun and energetic individuals without prejudice who are all looking to succeed in life."
"688","My classmates were  different and yet, similar to me; we wanted to go to school, we wanted to learn, and we loved our school."
"689","My classmates are a culturally and ethnically diverse group of students, all sharing the common bond of furthering our education and creating opportunities for success and security for our future."
"690","My classmates are my competition, but they are respectful, kind, and extremely helpful."
"691","My classmates are diversified ."
"692","The students that fill the classrooms range from the studious quiet kids to the kids that are enjoying freedom to much."
"693","Since I'm in the college of Engineering, I generally find students who are self disciplined and who have a genuine desire to apply themselves fully to accomplish their academic goals. I'm fortunate to be in this situation where the students and professors desire to learn and achieve their goals mirrors mine. I don't have to look far to find people to study with or who are willing to put in a little extra effort on a project to achieve a better grade."
"694","Mix of all races, genders, backgrounds. Never felt out of place at UCF> Very accepting school."
"695","I have very diverse classmates.  Everyone is very friendly though, because so many of them are from different states and cities that everyone is trying to make friends.  A lot of my classmates drive very nice cars.  I feel like many of hte stends in my classes are fairly wealthy."
"696","intelligent and eager to learn"
"697","Helpful, intelligent, and fun!"
"698","My classmates are intelligent, opinionated people that are very determined and headstrong."
"699","The students here are so eager to learn, they make you want to learn. I was very suprised  upon coming here and seeing how there are actually people who like going to the library and learning new things. It's amazing to study with the students here and to think that one day we will all be working together as leaders of this country.  Students of the Univeristy of Central  Florida, my classmates, make me proud. They are hardworking and dedicated, they will become something and just being around them makes you feel important, like you too can become great."
"700","Students at UCF are so easy to be around because no one judges you, everyone is free to be who they really are without getting nasty looks or rude comments."
"701","The students at UCF are from a variety different social groups, giving the whole atmosphere a very diverse  atmosphere."
"702","Generally nice and generally do not bother me."
"703","Some are good friends and others are just that classmates only."
"704","My classmates consist of a collection of ethnicities that is representative of the vast majority of the cultures on Earth."
"705","Fortuanately for me, I was selected to participate in the EXCEL Program at The University of Central Florida.   Therefore, my classmates are pursuing similar degrees.  We have access to our own advisors and study labs specifically related to our majors.  Having access to not only the advisors, but the students sharing the same classes gives me the opportunity to work through problems and help each other to be successful."
"706","Most of my classmates are like myself - they are older, wiser, and genuinely desire a good, affordable education that they can use to better themselves and their families."
"707","My classmates are very electic."
"708","Mostly friendly, willing to help out fellow students."
"709","My classmates are diverse, passionate, inquisitive, fun-loving, involved, and welcoming."
"710","My classmates are usually very friendly and eager to form study groups and help each other."
"711","My classmates can be loud. They can be in your face, and they can be to themselves. But above all, they can be very different. I love this school for the sole fact that everytime I enter a new classroom I am seeing twenty, thirty, possibly even a hundred new faces, each with their own distinct ideas and philosophies.  This unversity enriches my learning not not only from what we do or what we are taught in class, but from what I see everyday from thousands of differnet people meeting in one place, all to acheive the same goals."
"712","My classmates are diverse in ethnical background and school age and very supportive to each other."
"713","My classmates at the University of Central Florida are friendly, helpful. and outgoing."
"714","Most, are dedicated in acquiring the skills necessary for the future."
"715","sometimes helpful to others."
"716","The classmates I have encountered in every class have always been very friendly, helpful and outgoing with a strong inclination for learning."
"717","My classmates include a melting pot of dedicated students, who are eager to learn and openly express their feelings, it's what seperates ""Knights"" from everyone else!"
"718","MY CLASSMATES ARE ENERGETIC AN EXCITED ABOUT LEARNING."
"719","The classmates that I have come in contact with are more interested with what they should to at night, and what are the best ways to party rather than their studies.  I am not like this at all, and do not feel I belong."
"720","My classmates are honors students, hardworking and helpful, with whom I can build study groups and rely on to help and be helped by as we embark through each challenge our classes bring."
"721","My classmates are kind, intelligent, determined and hard working."
"722","My classmates are more extroverts and outspoken."
"723","My classmates are diverse.  Being at the University of Central Florida has allowed me to interact and befriend various types of people from different cultures who share the same interests as me.  I grow every day and learn in class as well as in conversing with others.  I am very grateful to have such a thriving environment with supportive and driven people to work alongside."
"724","My classmates would be considered as studious, dedicated, and determined students."
"725","My classmates are very enegetic and  willing to learn new things."
"726","My classmates are educated and dedicated students who love to go to school  and want to achieve success."
"727","Every one of my classmates are respectful and they understand the imporatnace of beign in college. They know its an opportunity they cannot pass up. Some work really hard others procrastinate but at the end of the day they get their job done. None have said that it is easy and they didn't expect it to be that is why they work harder in college than their whole high school run."
"728","My classmates are a diverse group of individuals who choose to attend this university because they believe this is the best place they can grow not only intellectually but also as people who will one day have careers, families, and even a greater ability to change our world."
"729","My classmates are friendly, approachable, focused, and respectful to their elders, to others, and to themselves."
"730","My classmates are all different and unique individuals."
"731","My classmates like to ask questions over and over again even after the professor answered already."
"732","Variety"
"733","I have a diverse array of classmates at my school.  There are people from all walks of life there.   Everyone is friendly and seemingly goal oriented.   For the most part, in class, they are respectful of the teacher and quiet.  People are not prejudice about who to be friends with either."
"734","My classmates are friendly and involved with the university."
"735","My classmates are very animated and fun loving."
"736","Diverse! The students here are from almost 140 different countries and from all over the country."
"737","My classmatwes are very energetic and eager to learn."
"738","everyone is extremely nice, even when they have no idea who you are."
"739","My classmates are willing, knowledgeable,outgoing,helpful and open to new things."
"740","My classmates are hardworking since I am in the Honors College at UCF but in some of my other classes there are slackers."
"741","My classmates ae diverse."
"742","Poser adults"
"743","My classmates are energetic, creative, and outgoing. We are the kind of people that are more hands-on and social, rather than the kind the kind that sit around and work with numbers. We are innovators of the business world of tomorrow. My fellow classmates and I will one day be the people that are creating the catchy advertisements you see on television, the people writing articles in magazines on all of your favorite celebrities, and most of all, we will be enjoying what we do."
"744","Classmates range from right out of high school to returning students.  Most are very dedicated to the idea of school and learning.  The majority are working class.  There is a variety of different cultures present also."
"745","All of the people that I attend class with and meet on a daily basis are nice ginuine people. Everyone is attending the University of Central Florida for the same purpose. Which is to get a degree of their choice and graduate with the hope of getting a good job."
"746","My classmates are intelligent, diverse, friendly, condescending, and creative."
"747","My classmates are very intellegent and know what they want in life."
"748","I perceive many to be ungrateful for their opportunities and trying to get by on minimal effort."
"749","My classesmates are helpful and very friendly"
"750","My classmates push me perform my best and learn as much as I can in an environment that allows for most progress."
"751","My classmates are extremely interesting: they are so diverse, and friendly; it's really amazing"
"752","Classmates at UCF are respectable and very friendly.  I've met many friends.  UCF is a very diversified school and people enjoy it that way."
"753","Students at UCF are eager to learn while taking time to experience life outside of the classroom."
"754","My classmates are energetic, hard-working, and intelligent."
"755","My classmates are  people who are of all races"
"756","My classmates, across the board, are hard-working, driven students that work together to solve problems and further their learning experience."
"757","Very artistic, interested in thinking out of the box and willing to work in groups. Prokect oriented classes make students become aware of their peers and what brings them together.  All seem accepting for who you are and what you have to offer."
"758","My classmates are motivated and persistent on learning and developing capabilities in the areas of studies they're in. 
Striving every day to become what they desire and have always wanted to become."
"759","The future."
"760","My classmates are a diverse group with many different interests and when we all come together, our learning  experiences become complete."
"761","At UCF, my classmates come to campus ready to learn.  They tend to very focused and very understanding of others.  I feel as though I can count on them and ask them questions about our classes and they are willing to help.  My classmates are also very diverse as well, so everyone is able to feel comfortable."
"762","My classmates are respectful, diverse, intelligent and people that are very easy to get along with."
"763","My classmates are mostly hardworking, outgoing, and motivated college students."
"764","My classmates are critical thinkers."
"765","All my classmates are very diverse and at many levels of acadmeic success."
"766","My classmates are ljust like any other students in other schools would be like."
"767","The students are dedicated, focused, and brilliant."
"768","My classmates are diverse, interesting, and invested in their futures."
"769","My classmates are usually helpful, although most dont share the same ethnic background as me;  I notice the social habits and study habits of caucasion students to be very different from my own."
"770","Diverse, there is such a great mix of students and majors at UCF that it keeps every class fresh and new."
"771","My classmates have the same goals that I do:  to acquire a higher education focused on our desired careers,  to be involved on campus through clubs and student organizations, and to ultimately do well in school and graduate."
"772","My classmates come from across the spectrum of life , all of us different in many ways, but all there to learn and excell!"
"773","They don't need you; they have their own friends."
"774","My classmates at UCF are all here because they want to be, they are very respectful and pay close attention."
"775","There is no room for judgement because my classmates are so diverse, so unique, a melting-pot so to speak, where people accept you and embrace you for who you are, and it's a comfort knowing there are always people who care, that we all breathe the very same air, here in the UCF community we all are striving to acheive, our common hopes and our similar dreams."
"776","Its all new to me, and I am learning with every step of the process."
"777","My classmates are cooperative, supportive,  and determined to learned just like I am."
"778","My classmates are just like me inn a sense that they are all here to experience postive change.  They want to stimulate their mind in ways that they have not before and further their education. They are here not just to earn a  degree for a job, but because they want to grow and mature."
"779","My classmates at UCF will be adventurous, articulate, driven, focused, goal oriented, show classroom ethics, hard working, and hopefully they will be life-long friends!"
"780","My classmates are motivated and inspired not only by themselves but by the incredibly supportive staff at University of Central Florida."
"781","My classmates are all odd and unique, but they always remain a pleasure to work with as they widen my perspective to different ways of cultural thinking."
"782","I'm an online student but virtually my classmates seem to be like me holding down a job, family life, and school."
"783","My classmates are there to study; to learn and not to mess around and waste their intuition money on pointless thrills that will never last."
"784","My classmates are generally highly academic but also find time to work in busy social lives. They are highly opinionated and like to encourage other students to see things their way. They are also generally liberal and environmentally concious and impress these views both on fellow students and on the university at large. Most students are very friendly and willing to help others around them"
"785","Most of my classmates are working adults or mother's with children."
"786","My classmates are driven, social, and often display a genuine desire to learn about and immerse themselves in the global community around them."
"787","Focused individuals."
"788","I'm like a small fish in a tank full of sharks, my fellow students here at the university are very territorial and do not mind ripping anyone to shreds who stand in their way of an opportunity or advance, yes these kids are very competitive."
"789","Everyone around me is going through exactly the same experience, and just like me they are all nervous and unsure of themselves."
"790","My classmates are awesome.  Most if not all of them are really dedicated to learning and are amazing to work with in group settings. My classmates are really diverse seeing as they come from a myriad of backgrounds. This tends to bring about interesting conversation among us not to mention it's also an invaluable learning experience."
"791","So far, the classmates i have come across in my college career are respectable, well adjusted young adults. Every now and again I will come across someone whose parent's are forcing them to attend. Those types of people set a bad example by messing around and blatantly not caring about their education."
"792","They are a very intelligent and diverse class. My classmates are hard working and motivated to be the best."
"793","Students learn in coorelation with the overall quality and ability of the professors."
"794","Describing classmates is really not hard, just because I always find the way to create a professional relation with the person. I had many classmates through out my college experience, I had some classmates that i could say really had the same urge and passion for the books. Some of my classmates really dedicated their time to study and triumph in life."
"795","My classmates can be described using three simple words: unique, intelligent, and competitive!"
"796","Classmates at UCF are very diverse and normally enthusiastic. In the lower level classes students tend to not focus or care on the studies. In the upper level classes students are a lot more focused and seem to care a lot more."
"797","My classmates make me feel old."
"798","Most of my classmates are very school spirited and  truly focused on their education, they are diverse and a lot more open and well-rounded than those in high school."
"799","My classmates are extremely diverse and open-minded, which is a big reason I chose UCF; we are all proud to share and discuss religions, politics, and ethniticites that may differ from anything else we may have ever learned previously."
"800","My classmates are very helpfull and very eagered to learn and achieve their goals."
"801","Many of my classmates are younger than I am.  I already have a family to support so I do not have a lot of time to socialize with anyone."
"802","My classmates are diverse and differ in economic and social status.  We have a sorority and fraternity community here but it is not as big as other universities.  Most people are nice and fun."
"803","My classmates are amazingly bright and brilliant."
"804","Each semester I meet new people, girls and guys, who are all very different from the last and people arn't afraid to be themselves because most students are open to other beliefs/ideas."
"805","Students here are diverse, but there is a sense of unity."
"806","Well I'm a new transfer from Florida hospital but my first impression has been a little disappointed.  The students at the new campus don't seem to be friendly so far; however, I believe it's still too early to judge the students at the  campus."
"807","My classmates at the University of Central Florida are very outgoing and laid back people. They create a very easy environment to feel comfortable in class, which allows the you to get the best oppurtunities to learn. At UCF everyone is apart of a culture that loves its school and everything around it. Students are very active in the classroom as well as the the activities the University provides for the student body. If this is the environment that you are looking for as a prosepctive student, then UCF is where you wanna be."
"808","Not very social and tend to study hard in class and socialize only off campus."
"809","I find that my classmates are very diverse. We all come from different backgrounds and social status. We all are unique in our own individual way and it's nice to see people who grew uo differently or who have different problems of their own come together to help each other.  But I also notice that the classmates I have are very competitive in their field. The competition I find is very fierce when it comes to engineering majors and pre-professional students.  We all are trying to get those very limited positions and make our dreams come true."
